"filename", "language", "Markdown", "YAML", "Dart", "Gradle", "Java Properties", "Swift", "XML", "C++", "JSON", "JavaScript", "CMake", "Java", "HTML", "comment", "blank", "total"
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/student_screens/event_screens/event_screen.dart", "Dart", 0, 0, -258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20, -279
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/student_screens/guideline_screen.dart", "Dart", 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -11
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/student_screens/home_screen.dart", "Dart", 0, 0, -365, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -16, -390
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/student_screens/registration_screens/registration_screen.dart", "Dart", 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -17
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/student_screens/task_screens/task_detail_screen.dart", "Dart", 0, 0, -406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -15, -424
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/student_screens/task_screens/task_screen.dart", "Dart", 0, 0, -237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, -15, -275
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/services/announcement_services.dart", "Dart", 0, 0, -169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -20, -193
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/services/event_services.dart", "Dart", 0, 0, -248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -26, -280
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/services/task_services.dart", "Dart", 0, 0, -260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -29, -300
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/services/user_services.dart", "Dart", 0, 0, -38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -43
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/themes.dart", "Dart", 0, 0, -16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -19
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/widgets/top_bar.dart", "Dart", 0, 0, -29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -31
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/widgets/user_info.dart", "Dart", 0, 0, -65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -68
"/Users/riyashah/Documents/flutter apps/EventQuest/linux/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, -4, -5, -16
"/Users/riyashah/Documents/flutter apps/EventQuest/linux/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, -5, -6, -16
"/Users/riyashah/Documents/flutter apps/EventQuest/linux/flutter/generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, 0, -6, -25
"/Users/riyashah/Documents/flutter apps/EventQuest/linux/main.cc", "C++", 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, -2, -7
"/Users/riyashah/Documents/flutter apps/EventQuest/linux/my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, 0, 0, 0, -11, -20, -105
"/Users/riyashah/Documents/flutter apps/EventQuest/linux/my_application.h", "C++", 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, -7, -5, -19
"/Users/riyashah/Documents/flutter apps/EventQuest/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, -3, -4, -15
"/Users/riyashah/Documents/flutter apps/EventQuest/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, -2, -10
"/Users/riyashah/Documents/flutter apps/EventQuest/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -68, 0, 0, 0, 0, 0, -1, -69
"/Users/riyashah/Documents/flutter apps/EventQuest/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, -343, 0, 0, 0, 0, 0, 0, 0, -1, -344
"/Users/riyashah/Documents/flutter apps/EventQuest/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, -4, -16
"/Users/riyashah/Documents/flutter apps/EventQuest/macos/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, -2, -4, -13
"/Users/riyashah/Documents/flutter apps/EventQuest/pubspec.yaml", "YAML", 0, -40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -57, -13, -110
"/Users/riyashah/Documents/flutter apps/EventQuest/servers/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, 0, -1, -9, -35
